,street,dir_word,township,postal_code,count_date,year,section,count_direction,one_way,avg_perweekday,latitude,longitude
0,CHE DE BESSAYRE,BESSAYRE (CHE DE BESSAYRE),St-Jean,31488,2014-02-08,2014-01-01,ENTRE VALLON ET MERMOZ,VERS CH DE MONTRABE,False,4010.0,43.653914232077135,1.5027828863494108
1,RUE DE BAYARD,BAYARD (RUE DE BAYARD)_TOULOUSE,Toulouse,31555,2014-05-14,2014-01-01,ENTRE ORIENT ET LAFON,VERS LAFON,True,7036.0,43.60954527828468,1.4490135716233121
2,RUE DE MAURYS,MAURYS (RUE DE MAURYS),Gratentour,31230,2014-04-21,2014-01-01,ENTRE TASCAS ET AV DE TOULOUSE,VERS GRATENTOUR,False,2309.0,43.72715480590076,1.4408803778230503
3,RUE DU TASCAS,TASCAS (RUE DU TASCAS),Gratentour,31230,2014-04-24,2014-01-01,ENTRE MAURYS ET PRUNIERS,VERS PECHBONIEU,False,3104.0,43.72221610746344,1.4370415009671003
4,RUE LOUIS PLANA,PLANA (RUE LOUIS PLANA),Toulouse,31555,2014-04-08,2014-01-01,ENTRE SURCOUF ET FRATERNITE,VERS SURCOUF,False,4669.0,43.61009370704622,1.4793010756879603
5,RUE CHARLES GOUNOD,GOUNOD (RUE CHARLES GOUNOD),Toulouse,31555,2014-03-20,2014-01-01,ENTRE BAUDELAIRE ET KRUGER,VERS ROLAND GARROS,False,863.0,43.6138167196074,1.424736937890595
6,CHE DE LADOUX,LADOUX (CHE DE LADOUX),Saint-Jory,31490,2014-02-22,2014-01-01,ENTRE TRINCHET ET PARC,VERS CHE PARC,False,1306.0,43.74019904229352,1.3738179866302058
7,RUE EMILE LECRIVAIN,LECRIVAIN (RUE EMILE LECRIVAIN),Toulouse,31555,2014-05-17,2014-01-01,ENTRE CARROSSE ET COLLENOT,VERS COLLENOT,False,954.0,43.57465941064875,1.4868300501508274
8,RTE DE CORNEBARRIEU,CORNEBARRIEU (RTE DE CORNEBARRIEU),Aussonne,31032,2014-09-19,2014-01-01,ENTRE GRAOS ET PANARIOL,VERS CHE DE FOURTANIER,False,5104.0,43.67020703918653,1.3229275165035823
9,AV CRAMPEL,CRAMPEL (AV CRAMPEL),Toulouse,31555,2014-09-15,2014-01-01,ENTRE CLEMENCEAU ET RACINE,VERS SEGOFFIN,False,15123.0,43.585585515964006,1.4553714085767782
10,RTE D AUCH,AUCH (RTE D AUCH),Colomiers,31149,2014-01-22,2014-01-01,ECHANGEUR 6 RN 124,VERS TOULOUSE RN124,True,13431.0,43.60524008200115,1.2893436326241627
11,CHE DE RIVALSUPERVIC,RIVALSUPERVIC (CHE DE RIVALSUPERVIC),Toulouse,31555,2014-01-20,2014-01-01,ENTRE CHE DES ETROITS CHE PLANTADE,VERS CHE DES ETROITS,False,2341.0,43.54940972287738,1.4467371433978344
12,CHE VIREBENT,VIREBENT (CHE VIREBENT),Launaguet,31282,2014-01-13,2014-01-01,ENTRE PALANQUE ET ENCOURSE,LES 2 SENS,False,8586.0,43.65756560928114,1.4553841251618818
13,CHE DES COMBES,COMBES (CHE DES COMBES)_LAUNAGUET,Launaguet,31282,2014-09-22,2014-01-01,ENTRE CAZALBARBIER ET BRASSENS,LES 2 SENS,False,1952.0,43.67471929311345,1.460835869066244
14,CHE DE LESTANG,LESTANG (CHE DE LESTANG)_TOULOUSE,Toulouse,31555,2014-10-06,2014-01-01,ENTRE EISENHOWER ET PERPIGNAN,LES 2 SENS,False,11271.0,43.552890372551964,1.393555344167955
15,RUE DES TRENTE SIX PONTS,PONTS (RUE DES TRENTE SIX PONTS),Toulouse,31555,2014-10-07,2014-01-01,ENTRE GUESDE ET SAINTE CATHERINE,SENS UNIQUE VERS SAINTE CATHERINE,True,1123.0,43.590824792368565,1.4480852455384388
16,AV DE GAROSSOS,GAROSSOS (AV DE GAROSSOS),Beauzelle,31056,2014-11-14,2014-01-01,ENTRE JUNICASSA ET RIOU,VERS JUNICASSA,False,2743.0,43.667676862888136,1.3646649116579446
17,AV DE L HERS,HERS (AV DE L HERS),Toulouse,31555,2014-12-05,2014-01-01,ENTRE PLANA ET MAURIES,VERS PLANA,False,745.0,43.613623963039764,1.4793640699223631
18,ALL CHARLES DE FITTE,FITTE (ALL CHARLES DE FITTE),Toulouse,31555,2016-09-21,2016-01-01,ENTRE RUE BOURASOL ET RUE VARSY,VERS RUE VARSY,False,17347.0,43.60084288690726,1.4286348151939647
19,CHE DES BOURDETTES,BOURDETTES (CHE DES BOURDETTES),Cugnaux,31157,2016-10-06,2016-01-01,ENTRE RUE DES TROUBADOURS ET RTE DE TOULOUS,VERS RUE DES TROUBADOURS,False,737.0,43.552280033702495,1.3529307707951455
20,RUE DES TROUBADOURS,TROUBADOURS (RUE DES TROUBADOURS),Cugnaux,31157,2016-10-06,2016-01-01,ENTRE CHE GAYLAR ET IMP DES TROUBADOURS,VERS CHE MICHET,False,756.0,43.55401123009325,1.3610366350772536
21,RUE NOUADHIBOU,NOUADHIBOU (RUE NOUADHIBOU),Toulouse,31555,2016-11-14,2016-01-01,ENTRE RTE DE LABEGE ET RTE DE REVEL,VERS RTE DE LABEGE,False,2307.0,43.565943185802745,1.5039770270240962
22,AV RAYMOND NAVES,NAVES (AV RAYMOND NAVES),Toulouse,31555,2016-11-17,2016-01-01,ENTRE RUE MASCARD ET RUE BESSIERES,VERS BD DELTOUR,False,2716.0,43.59644627991434,1.4781176145644686
23,RUE DU FERETRA,FERETRA (RUE DU FERETRA),Toulouse,31555,2016-11-22,2016-01-01,ENTRE RUE ST ROCH ET RUE DE VENISE,VERS RUE DES CASERNES,False,2911.0,43.57822600738884,1.44318657037376
24,RUE FRANCOISE GIROUD,GIROUD (RUE FRANCOISE GIROUD),Toulouse,31555,2016-11-23,2016-01-01,ENTRE RUE ROQUEMAUREL ET AV DE LOMBEZ,VERS RUE ROQUEMAUREL,False,424.0,43.59534544543665,1.4126401898839052
25,RUE RENE SENTENAC,SENTENAC (RUE RENE SENTENAC),Toulouse,31555,2016-11-25,2016-01-01,ENTRE MARIGNAC ET PAS CRABE,VERS IMP RASEYRE,False,713.0,43.61001575313521,1.3772327167689142
26,AV JULES VEDRINES,VEDRINES (AV JULES VEDRINES),Aussonne,31032,2016-11-25,2016-01-01,ENTTRE CHE ARGILOS ET RUE DORET,VERS RUE DORET,False,366.0,43.687029652994006,1.3181819283133438
27,AV DE LA COLONNE,COLONNE (AV DE LA COLONNE),Toulouse,31555,2016-11-25,2016-01-01,ENTRE ALL DES ACACIAS ET CHE CAILLIBENS,VERS CHE CAILLIBENS,False,688.0,43.609564481497586,1.4620461211859153
28,AV PIERRE MOLETTE,MOLETTE (AV PIERRE MOLETTE),Toulouse,31555,2016-12-01,2016-01-01,ENTRE CHE DU RAMELET MOUNDI ET RU ALEMBERT,VERS CHE DU RAMEELT MOUNDI,False,1085.0,43.58893972379173,1.3850016762695152
29,RUE DE L AUDE,AUDE (RUE DE L AUDE),Toulouse,31555,2017-01-10,2017-01-01,ENTRE CLABEL ET RIEUX,VERS AV JEAN RIEUX,False,505.0,43.58364939571052,1.4822137441378773
30,RUE JEAN LOUIS HARCHENKO,HARCHENKO (RUE JEAN LOUIS HARCHENKO),Toulouse,31555,2017-01-16,2017-01-01,ENTRE CHE LICARD ET  IMP GUILHERMY,VERS IMP GUILHERMY,False,219.0,43.563701560177215,1.363070123532367
31,RTE DE PARIS,PARIS (RTE DE PARIS),Aucamville,31022,2017-01-23,2017-01-01,ENTRE RTE DE LACOURTENSOURT ET  RUE SEVESO,VERS SAINT ALBAN,False,16738.0,43.66130938484077,1.4167782622678877
32,DEPARTEMENTALE 820,820 (DEPARTEMENTALE 820),Saint-Jory,31490,2017-01-23,2017-01-01,ENTRE CHE NIVITAL SAINT JORY,VERS SAINT JORY,False,11357.0,43.74389121522037,1.3688309553962765
